NAICS,Description of NAICS,Set-Aside
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",WOSB
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",WOSB
331511,Iron Foundries,WOSB
331512,Steel Investment Foundries,WOSB
331513,Steel Foundries (except Investment),WOSB
331523,Nonferrous Metal Die-Casting Foundries,WOSB
331524,Aluminum Foundries (except Die-Casting),WOSB
331529,Other Nonferrous Metal Foundries (except Die-Casting),WOSB
332111,Iron and Steel Forging,WOSB
332112,Nonferrous Forging,WOSB
332114,Custom Roll Forming,WOSB
332117,Powder Metallurgy Part Manufacturing,WOSB
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",WOSB
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",WOSB
332216,Saw Blade and Handtool Manufacturing,WOSB
332311,Prefabricated Metal Building and Component Manufacturing,WOSB
332312,Fabricated Structural Metal Manufacturing,WOSB
332313,Plate Work Manufacturing,WOSB
332321,Metal Window and Door Manufacturing,WOSB
332322,Sheet Metal Work Manufacturing,WOSB
332323,Ornamental and Architectural Metal Work Manufacturing,WOSB
332410,Power Boiler and Heat Exchanger Manufacturing,WOSB
332420,Metal Tank (Heavy Gauge) Manufacturing,WOSB
332431,Metal Can Manufacturing,WOSB
332439,Other Metal Container Manufacturing,WOSB
332510,Hardware Manufacturing,WOSB
332613,Spring Manufacturing,EDWOSB
332618,Other Fabricated Wire Product Manufacturing,EDWOSB
332710,Machine Shops,EDWOSB
332721,Precision Turned Product Manufacturing,EDWOSB
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",EDWOSB
332811,Metal Heat Treating,EDWOSB
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",EDWOSB
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",EDWOSB
332911,Industrial Valve Manufacturing,WOSB
332912,Fluid Power Valve and Hose Fitting Manufacturing,WOSB
